Name,US State/District,Party Affiliation,Ballot 1,Ballot 2,Ballot 3,Ballot 4,Ballot 5,Ballot 6,Ballot 7,Ballot 8,Ballot 9,Ballot 10,Ballot 11
"Boyle, Brendan",Pennsylvania 2nd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Brecheen, Josh",Oklahoma 2nd,Republican Party,Jim Banks,Jim Jordan,Jim Jordan,Byron Donalds,Byron Donalds,Byron Donalds,Byron Donalds,Kevin Hern,Kevin Hern,Kevin Hern,Kevin Hern
"Brown, Shontel",Ohio 11th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Brownley, Julia",California 26th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Buchanan, Vern",Florida 16th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Buck, Ken",Colorado 4th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,N/A (Absent),N/A (Absent),N/A (Absent)
"Bucshon, Larry",Indiana 8th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Budzinski, Nikki",Illinois 13th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Burchett, Tim",Tennessee 2nd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Burgess, Michael",Texas 26th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Burlison, Eric",Missouri 7th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Bush, Cori",Missouri 1st,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Calvert, Ken",California 41st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Cammack, Kat",Florida 3rd,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Caraveo, Yadira",Colorado 8th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Carbajal, Salud",California 24th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Cardenas, Tony",California 29th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Carey, Mike",Ohio 15th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Carl, Jerry",Alabama 1st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Carson, Andre",Indiana 7th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Carter, Earl",Georgia 1st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Carter, John",Texas 31st,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
"Carter, Troy",Louisiana 2nd,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Cartwright, Matt",Pennsylvania 8th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Casar, Greg",Texas 35th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Case, Ed",Hawaii 1st,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Casten, Sean",Illinois 6th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Castor, Kathy",Florida 14th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Castro, Joaquin",Texas 20th,Democratic Party,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries,Hakeem Jeffries
"Chavez-DeRemer, Lori",Oregon 5th,Republican Party,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Kevin McCarthy
